Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Wisconsin,33,7_11,15_18,108.7,98.3,16.8,18.4,51.2,50.6,33.5,35,32.7,30.2,73
South Carolina,32,7_11,17_16,104.7,94.8,19.7,21,43.5,48.7,33.8,33.5,42.8,43.1,74
Northwestern,31,6_12,15_17,109,99,17.8,19,47.1,48.9,35.4,36.2,29.1,37,75
Oregon,36,10_8,23_13,110,100,17.1,19,53.1,48.4,35.7,35.6,31.7,36.3,76
St. Bonaventure,34,14_4,26_8,109.6,99.7,16.3,20.4,48.5,49.7,38.6,32,40.5,38.4,77
South Dakota,31,11_3,26_9,108.3,98.6,15.7,19.9,51.9,47.1,35,33.7,35.7,29.7,78
Murray St.,30,16_2,26_6,110.6,100.8,17.6,18,54.4,47.6,37.2,30.9,37.3,30.5,79
Boston College,35,7_11,19_16,112.6,102.8,18.2,17.6,51.1,50.1,35.9,36.1,30.7,27.1,80
Stanford,35,11_7,19_16,107.6,98.5,20.6,15.9,50.3,47.9,36.9,35.1,41.6,29.2,81
Illinois,31,4_14,14_18,110.7,101.7,18.8,23.2,49.8,54.1,33.2,34.5,33.1,47.9,82
Iowa St.,31,4_14,13_18,110.2,101.3,17,16.4,47.9,51,35.8,33.9,29.8,26.5,83
Wake Forest,31,4_14,11_20,110.4,101.6,18.8,17.5,47.4,48.1,37.4,37.7,31.9,39,84
BYU,35,11_7,24_11,106.7,98.2,16.8,18.5,55.3,51.9,34.7,33.6,37.6,28.4,85
Belmont,33,15_3,24_9,112.3,103.4,18.1,16.9,61.7,48.1,37.6,33.5,27.9,26.8,86
UNC Greensboro,32,15_3,27_8,103.4,95.2,19.8,21.4,51.1,47.3,35,31.9,26,39.2,87
Iowa,33,4_14,14_19,116.1,106.9,18.7,15.5,53.3,51.2,37.5,37.6,35.4,28.1,88
Montana,32,16_2,26_8,106.7,98.4,17.4,21.2,51.4,46.3,33.7,35.2,38.3,41.4,89
Vanderbilt,32,6_12,12_20,114.7,105.9,17.7,14.7,50.8,50.7,35.3,37.4,36.2,36.5,90
Temple,33,8_10,17_16,107.4,99.3,15.9,18.7,47.2,50.5,35,32.4,25.6,31.5,91
DePaul,31,4_14,11_20,103.8,96,19.4,20.2,48.5,49.2,31,37.1,29.4,32.3,92
Northern Kentucky,30,15_3,22_10,106.2,98.3,17.6,19.2,55.7,46.7,34,31.8,31,31.7,93
SMU,33,6_12,17_16,107.6,99.8,18,21.7,48.7,48.6,37.9,33.8,30.5,30.6,94
